State,EV_Registrations
Alabama,13047
Alaska,2697
Arizona,89798
Arkansas,7108
California,1256646
Colorado,90083
Connecticut,31557
Delaware,8435
District of Columbia,8066
Florida,254878
Georgia,92368
Hawaii,25565
Idaho,8501
Illinois,99573
Indiana,26101
Iowa,9031
Kansas,11271
Kentucky,11617
Louisiana,8150
Maine,7377
Maryland,72139
Massachusetts,73768
Michigan,50284
Minnesota,37050
Mississippi,3590
Missouri,26861
Montana,4608
Nebraska,6920
Nevada,47361
New Hampshire,9861
New Jersey,134753
New Mexico,10276
New York,131250
North Carolina,70164
North Dakota,959
Ohio,50393
Oklahoma,22843
Oregon,64361
Pennsylvania,70154
Rhode Island,6396
South Carolina,20873
South Dakota,1675
Tennessee,33221
Texas,230125
Utah,39998
Vermont,7816
Virginia,84936
Washington,152101
West Virginia,2758
Wisconsin,24943
Wyoming,1139
